nombre,fecha_publicacion,fecha_actualizacion,link_pdf,link_docx,source_url,gov_level,nombre_normalized,doc_id
Constitucion Politica de la Ciudad de Mexico,05/02/17,,https://data.consejeria.cdmx.gob.mx/images/leyes/estatutos/CONSTITUCION_POLITICA_DE_LA_CDMX_14.2.2.pdf,https://data.consejeria.cdmx.gob.mx/images/leyes/estatutos/CONSTITUCION_POLITICA_DE_LA_CDMX_14.2.docx,https://data.consejeria.cdmx.gob.mx/index.php/leyes/constitucion,CDMX,CONSTITUCIONPOLITICADELACIUDADDEMEXICO,234F69A3
Ley de Proteccion de Datos Personales en Posesion de Sujetos Obligados del Distrito Federal,03/10/08,,https://data.consejeria.cdmx.gob.mx//images/leyes/leyes/LEYDPROTECCIONDEDATOSPERSONALESPARAELDISTRITOFEDERAL.pdf,,https://data.consejeria.cdmx.gob.mx/index.php/leyes/leyes?limitstart=0,CDMX,LEYDEPROTECCIONDEDATOSPERSONALESENPOSESIONDESUJETOSOBLIGADOSDELDISTRITOFEDERAL,80360428
Ley de Acceso de las Mujeres a una Vida Libre de Violencia de la Ciudad de Mexico,25/06/25,,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_DE_ACCESO_DE_LAS_MUJERES_A_UNA_VIDA_LIBRE_DE_VIOLENCIA_DE_LA_CDMX_12.3.pdf,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_DE_ACCESO_DE_LAS_MUJERES_A_UNA_VIDA_LIBRE_DE_VIOLENCIA_DE_LA_CDMX_12.3.docx,https://data.consejeria.cdmx.gob.mx/index.php/leyes/leyes?limitstart=0,CDMX,LEYDEACCESODELASMUJERESAUNAVIDALIBREDEVIOLENCIADELACIUDADDEMEXICO,74FF23BF
Ley de los Derechos de Ninas Ninos y Adolescentes de la Ciudad de Mexico,02/04/25,,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_DERECHOS_NINAS_NINOS_ADOLESCENTES_CDMX_7.2.pdf,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_DERECHOS_NINAS_NINOS_ADOLESCENTES_CDMX_7.2.docx,https://data.consejeria.cdmx.gob.mx/index.php/leyes/leyes?limitstart=0,CDMX,LEYDELOSDERECHOSDENINASNINOSYADOLESCENTESDELACIUDADDEMEXICO,FB6CCCAE
Ley para el Reconocimiento y la Atencion de las Personas LGBTTTI+ de la Ciudad de Mexico,31/03/25,,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_PARA_RECONOCIMIENTO_Y_LA_ATENCION_DE_LAS_PERSONAS_LGBTTTI_DE_LA_CDMX_4.1.pdf,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_PARA_RECONOCIMIENTO_Y_LA_ATENCION_DE_LAS_PERSONAS_LGBTTTI_DE_LA_CDMX_4.1.docx,https://data.consejeria.cdmx.gob.mx/index.php/leyes/leyes?limitstart=0,CDMX,LEYPARAELRECONOCIMIENTOYLAATENCIONDELASPERSONASLGBTTTIDELACIUDADDEMEXICO,6C800A8E
Ley para la Celebracion de Espectaculos Publicos de la Ciudad de Mexico,25/03/25,,https://data.consejeria.cdmx.gob.mx/images/leyes/Ley_para_la_Celebracion_de_Espectaculos_Publicos_de_la_CDMX_3.4.pdf,https://data.consejeria.cdmx.gob.mx/images/leyes/Ley_para_la_Celebracion_de_Espectaculos_Publicos_de_la_CDMX_3.4.docx,https://data.consejeria.cdmx.gob.mx/index.php/leyes/leyes?limitstart=0,CDMX,LEYPARALACELEBRACIONDEESPECTACULOSPUBLICOSDELACIUDADDEMEXICO,298E1252
Ley Organica de Alcaldias de la Ciudad de Mexico,31/03/25,,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_ORGANICA_DE_ALCALDIAS_DE_LA_CDMX_6.2.pdf,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_ORGANICA_DE_ALCALDIAS_DE_LA_CDMX_6.2.docx,https://data.consejeria.cdmx.gob.mx/index.php/leyes/leyes?limitstart=0,CDMX,LEYORGANICADEALCALDIASDELACIUDADDEMEXICO,955199A7
Ley de Vivienda para la Ciudad De Mexico,02/05/25,,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_DE_VIVIENDA_PARA_LA_CDMX_4.3.pdf,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_DE_VIVIENDA_PARA_LA_CDMX_4.3.docx,https://data.consejeria.cdmx.gob.mx/index.php/leyes/leyes?limitstart=0,CDMX,LEYDEVIVIENDAPARALACIUDADDEMEXICO,017D8396
Ley de Seguridad Privada para la Ciudad de Mexico,31/03/25,,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_DE_SEGURIDAD_PRIVADA_PARA_EL_DF_2.2.pdf,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_DE_SEGURIDAD_PRIVADA_PARA_EL_DF_2.2.docx,https://data.consejeria.cdmx.gob.mx/index.php/leyes/leyes?limitstart=0,CDMX,LEYDESEGURIDADPRIVADAPARALACIUDADDEMEXICO,71029770
Ley de Salud de la Ciudad De Mexico,02/05/25,,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_DE_SALUD_DE_LA_CIUDAD_DE_MEXICO_3.3.pdf,https://data.consejeria.cdmx.gob.mx/images/leyes/LEY_DE_SALUD_DE_LA_CIUDAD_DE_MEXICO_3.3.docx,https://data.consejeria.cdmx.gob.mx/index.php/leyes/leyes?limitstart=0,CDMX,LEYDESALUDDELACIUDADDEMEXICO,AF96B37C
