art_id,type_of_relation,art_id_buscar
6D0C4493_159,auto_referencia_articulo,6D0C4493_42
3F66D749_101QUATER,auto_referencia_articulo,3F66D749_76
D61F4C69_188,auto_referencia_articulo,D61F4C69_185
D61F4C69_190,auto_referencia_articulo,D61F4C69_185
69638137_12,auto_referencia_articulo,69638137_36
E0644EAF_29,auto_referencia_articulo,E0644EAF_33
C57B66D6_40,auto_referencia_articulo,C57B66D6_36
C57B66D6_41,auto_referencia_articulo,C57B66D6_36
C57B66D6_174,auto_referencia_articulo,C57B66D6_148
C57B66D6_212,auto_referencia_articulo,C57B66D6_207
C57B66D6_239,auto_referencia_articulo,C57B66D6_254
C57B66D6_257,auto_referencia_articulo,C57B66D6_72
6DAE5BFB_26,auto_referencia_articulo,6DAE5BFB_54
702EE237_27,auto_referencia_articulo,702EE237_24
702EE237_356,auto_referencia_articulo,702EE237_107BIS
E0A07F07_33,auto_referencia_articulo,E0A07F07_8
E0A07F07_38,auto_referencia_articulo,E0A07F07_17
2F07FC1B_136,auto_referencia_articulo,2F07FC1B_348
2F07FC1B_235,auto_referencia_articulo,2F07FC1B_97
2F07FC1B_323,auto_referencia_articulo,2F07FC1B_323
2F07FC1B_504,auto_referencia_articulo,2F07FC1B_544BIS
2F07FC1B_661,auto_referencia_articulo,2F07FC1B_585
2F07FC1B_672,auto_referencia_articulo,2F07FC1B_657
2F07FC1B_884,auto_referencia_articulo,2F07FC1B_881
2F07FC1B_924,auto_referencia_articulo,2F07FC1B_916
2F07FC1B_1044,auto_referencia_articulo,2F07FC1B_1019
2F07FC1B_1372,auto_referencia_articulo,2F07FC1B_308
2F07FC1B_1513,auto_referencia_articulo,2F07FC1B_1514
2F07FC1B_1911,auto_referencia_articulo,2F07FC1B_1919
2F07FC1B_1926,auto_referencia_articulo,2F07FC1B_1923
2F07FC1B_2479,auto_referencia_articulo,2F07FC1B_2456
2F07FC1B_2490,auto_referencia_articulo,2F07FC1B_2431
2F07FC1B_2496,auto_referencia_articulo,2F07FC1B_2456
2F07FC1B_2595,auto_referencia_articulo,2F07FC1B_670
2F07FC1B_2939QUINQUIES,auto_referencia_articulo,2F07FC1B_2921
2F07FC1B_2939UNDECIES,auto_referencia_articulo,2F07FC1B_2907
768F07C4_52,auto_referencia_articulo,768F07C4_49
71C56206_41,auto_referencia_articulo,71C56206_7
7C5E7A9B_54,auto_referencia_articulo,7C5E7A9B_36
7C5E7A9B_131,auto_referencia_articulo,7C5E7A9B_26
1845EF43_12,auto_referencia_articulo,1845EF43_7
1845EF43_37,auto_referencia_articulo,1845EF43_43
1845EF43_87,auto_referencia_articulo,1845EF43_14
74FF23BF_6,auto_referencia_articulo,74FF23BF_200
74FF23BF_6,auto_referencia_articulo,74FF23BF_193
