art_id,entity_text,cdmx_official_name,cdmx_doc_id,match_quality,openai_response
2833199A_2,Código de Instituciones y Procedimientos Electorales del Distrito Federal,Codigo de Instituciones y Procedimientos Electorales de la Ciudad de Mexico,98C6B489,safe,MATCH: 98C6B489
2833199A_15,Código para las sesiones ordinarias y extraordinarias según corresponda,,,no_match,NO_MATCH
3F66D749_1,Código de Instituciones y Procedimientos Electorales de la Ciudad de México,Codigo de Instituciones y Procedimientos Electorales de la Ciudad de Mexico,98C6B489,safe,MATCH: 98C6B489
3F66D749_8,Código para la confección o elaboración de propaganda electoral,Codigo de Instituciones y Procedimientos Electorales de la Ciudad de Mexico,98C6B489,safe,MATCH: 98C6B489
3F66D749_10,Código para la confección o elaboración de propaganda electoral,Codigo de Instituciones y Procedimientos Electorales de la Ciudad de Mexico,98C6B489,safe,MATCH: 98C6B489
3F66D749_10BIS,Código para la confección o elaboración de propaganda electoral,Codigo de Instituciones y Procedimientos Electorales de la Ciudad de Mexico,98C6B489,safe,MATCH: 98C6B489
3F66D749_18,Código para las y los ministros de culto,,,no_match,NO_MATCH
3F66D749_102,Código de Instituciones y Procedimientos Electorales y de la presente ley,Codigo de Instituciones y Procedimientos Electorales de la Ciudad de Mexico,98C6B489,safe,MATCH: 98C6B489
3F66D749_114BIS,Código de Instituciones y Procedimientos Electorales de la Ciudad de México,Codigo de Instituciones y Procedimientos Electorales de la Ciudad de Mexico,98C6B489,safe,MATCH: 98C6B489
3F66D749_176,Código de Procedimientos Civiles para la Ciudad de México,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
660CBA22_14,Código de Procedimientos Penales para el Distrito Federal,,,no_match,NO_MATCH
491D6477_16,código de ética que al efecto sea emitido por la Secretaría y los Órganos internos de cont,Codigo de Etica de la Administracion Publica de la Ciudad de Mexico,AC512D6A,safe,MATCH: AC512D6A
491D6477_16,código de ética a que se refiere el párrafo anterior,Codigo de Etica de la Administracion Publica de la Ciudad de Mexico,AC512D6A,safe,MATCH: AC512D6A
491D6477_25,código de conducta debidamente publicado y socializado entre todos los miembros de la orga,Codigo de Etica de la Administracion Publica de la Ciudad de Mexico,AC512D6A,safe,MATCH: AC512D6A
491D6477_49,código de ética a que se refiere el artículo,Codigo de Etica de la Administracion Publica de la Ciudad de Mexico,AC512D6A,safe,MATCH: AC512D6A
F1B29F7E_5,Código de Procedimientos Civiles para el Distrito Federal y demás ordenamientos aplicables,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
C371528F_14,Código de Procedimientos Civiles de la Ciudad de México y los principios generales del der,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
EDEA48F4_19,Código de Procedimientos Penales para el Distrito Federal,,,no_match,NO_MATCH
6DAE5BFB_12,Código de Procedimientos Civiles para el Distrito Federal,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_7,Código de Comercio para toda la República y otras leyes que expresamente lo regulen,Codigo de Comercio,CF38AF5C,safe,MATCH: CF38AF5C
702EE237_59,Código de Procedimientos Civiles vigente en la Ciudad de México,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_76,Código de Procedimientos Civiles para el Distrito Federal o Código Nacional de Procedimien,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_81,Código de Procedimientos Civiles vigente en la Ciudad de México,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_84,Código de Procedimientos Civiles vigente en la Ciudad de México y para el caso de los Trib,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_89,Código de Procedimientos Civiles respectivo,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_91,Código de Procedimientos Civiles vigente en la Ciudad de México,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_91,Código de Procedimientos Civiles vigente en la Ciudad de México,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_91,Código de Procedimientos Civiles vigente en la Ciudad de México,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_105,Código de Procedimientos Civiles vigente en la Ciudad de México establezca para que un jui,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_105,Código de Procedimientos Civiles vigente en la Ciudad de México,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
702EE237_105,Código de Procedimientos Civiles vigente en la Ciudad de México establezca para que un jui,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,safe,MATCH: 35C270ED
