art_id,entity_text,cdmx_official_name,cdmx_doc_id,match_quality,openai_response
6D0C4493_3,Ley de Centros Penitenciarios,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,safe,MATCH: 3C5257D6
6D0C4493_5,Ley de Centros Penitenciarios,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,safe,MATCH: 3C5257D6
6D0C4493_50,Ley de Centros Penitenciarios y en la Ley Nacional,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,safe,MATCH: 3C5257D6
6D0C4493_125,Ley de Centros Penitenciarios,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,safe,MATCH: 3C5257D6
6D0C4493_156,Ley de Centros Penitenciarios,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,safe,MATCH: 3C5257D6
6D0C4493_169,Ley de Centros Penitenciarios,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,safe,MATCH: 3C5257D6
6D0C4493_173,ley de Centros Penitenciarios constituyan un riesgo para la seguridad de la persona privada de la libertad o del Centro Penitenciario,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,safe,MATCH: 3C5257D6
6D0C4493_207,Ley de Centros Penitenciarios tendrá las siguientes en los Centros Penitenciarios,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,safe,MATCH: 3C5257D6
2833199A_7,Ley de Participación Ciudadana,Ley de Participacion Ciudadana de la Ciudad de Mexico,71CE1013,safe,MATCH: 71CE1013
5C7BA6A4_12,Ley de Transparencia,"Ley de Transparencia, Acceso a la Informacion Publica y Rendicion de Cuentas de la Ciudad de Mexico",95B2DA77,safe,MATCH: 95B2DA77
1D958C03_2,Ley para el Funcionamiento de Establecimientos Mercantiles del Distrito Federal,Ley de Establecimientos Mercantiles para la Ciudad de Mexico,B6DF65EC,safe,MATCH: B6DF65EC
1D958C03_6,Ley para el Funcionamiento de Establecimientos Mercantiles del Distrito Federal,Ley de Establecimientos Mercantiles para la Ciudad de Mexico,B6DF65EC,safe,MATCH: B6DF65EC
1D958C03_6,Ley de Cultura Cívica del Distrito Federal,Ley de Cultura Civica de la Ciudad de Mexico,7C5E7A9B,safe,MATCH: 7C5E7A9B
1D958C03_6,Ley de Transporte y Vialidad del Distrito Federal,Ley de Movilidad de la Ciudad de Mexico,A92D78A0,safe,MATCH: A92D78A0
1D958C03_6,Ley de Procedimiento Administrativo del Distrito Federal y el Reglamento de Verificación Administrativa para el Distrito Federal,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,safe,MATCH: 0FC021B6
1D958C03_6,Ley de los Derechos de las Niñas y Niños en el Distrito Federal,Ley de los Derechos de Ninas Ninos y Adolescentes de la Ciudad de Mexico,FB6CCCAE,safe,MATCH: FB6CCCAE
1D958C03_6,Ley de las y los Jóvenes del Distrito Federal,Ley de los Derechos de las Personas Jovenes en la Ciudad de Mexico,99BF2672,safe,MATCH: 99BF2672
1D958C03_8,Ley de Salud para el Distrito Federal,Ley de Salud de la Ciudad De Mexico,AF96B37C,safe,MATCH: AF96B37C
B0784E5D_2,Ley de Responsabilidades de la Ciudad de México,,,no_match,NO_MATCH
B0784E5D_3,Ley de Sistema de Seguridad Ciudadana de la Ciudad de México,Ley del Sistema de Seguridad Ciudadana de la Ciudad de Mexico,C538DBF3,safe,MATCH: C538DBF3
B0784E5D_3,Ley de Víctimas de la Ciudad de México,Ley de Victimas para la Ciudad de Mexico,D95CE77C,safe,MATCH: D95CE77C
B0784E5D_5,Ley General de Acceso a las Mujeres a una Vida Libre de Violencia,Ley de Acceso de las Mujeres a una Vida Libre de Violencia de la Ciudad de Mexico,74FF23BF,safe,MATCH: 74FF23BF
3F66D749_1,Ley de Participación,Ley de Participacion Ciudadana de la Ciudad de Mexico,71CE1013,safe,MATCH: 71CE1013
3F66D749_1,Ley de Participación,Ley de Participacion Ciudadana de la Ciudad de Mexico,71CE1013,safe,MATCH: 71CE1013
3F66D749_1,ley de la materia,,,no_match,NO_MATCH
3F66D749_1,Ley de Acceso y puede ser perpetrada indistintamente por agentes estatales,Ley de Acceso de las Mujeres a una Vida Libre de Violencia de la Ciudad de Mexico,74FF23BF,safe,MATCH: 74FF23BF
3F66D749_3,Ley General y este Código,,,no_match,NO_MATCH
3F66D749_8,Ley General y de la Ley de Acceso,Ley de Acceso de las Mujeres a una Vida Libre de Violencia de la Ciudad de Mexico,74FF23BF,safe,MATCH: 74FF23BF
3F66D749_22,Ley de Participación Ciudadana y que no estén previstas en otros ordenamientos,Ley de Participacion Ciudadana de la Ciudad de Mexico,71CE1013,safe,MATCH: 71CE1013
3F66D749_22,Ley de Participación Ciudadana,Ley de Participacion Ciudadana de la Ciudad de Mexico,71CE1013,safe,MATCH: 71CE1013
3F66D749_23,Ley de Participación Ciudadana,Ley de Participacion Ciudadana de la Ciudad de Mexico,71CE1013,safe,MATCH: 71CE1013
3F66D749_23,Ley de Participación Ciudadana,Ley de Participacion Ciudadana de la Ciudad de Mexico,71CE1013,safe,MATCH: 71CE1013
3F66D749_23,Ley de Participación Ciudadana,Ley de Participacion Ciudadana de la Ciudad de Mexico,71CE1013,safe,MATCH: 71CE1013
3F66D749_28,Ley de la materia,,,no_match,NO_MATCH
3F66D749_33,Ley de Transparencia,"Ley de Transparencia, Acceso a la Informacion Publica y Rendicion de Cuentas de la Ciudad de Mexico",95B2DA77,safe,MATCH: 95B2DA77
3F66D749_41,ley de la materia como competencia del Tribunal,Ley Organica del Tribunal de Justicia Administrativa de la Ciudad de Mexico.,F85A3C2E,safe,MATCH: F85A3C2E
3F66D749_101QUATER,ley de la materia,,,no_match,NO_MATCH
3F66D749_103,Ley de Participación Ciudadana,Ley de Participacion Ciudadana de la Ciudad de Mexico,71CE1013,safe,MATCH: 71CE1013
3F66D749_122,ley de la materia como competencia del Tribunal,Ley Organica del Tribunal de Justicia Administrativa de la Ciudad de Mexico.,F85A3C2E,safe,MATCH: F85A3C2E
3F66D749_127,Ley Federal de Trabajo,Ley Federal del Trabajo,1E67C48A,safe,MATCH: 1E67C48A
3F66D749_127,Ley Federal de los Trabajadores al Servicio de Estado,"Ley Federal de los Trabajadores al Servicio del Estado, Reglamentaria del Apartado B) del Articulo 123 Constitucional",5E5BDE55,safe,MATCH: 5E5BDE55
3F66D749_171,ley de la materia,,,no_match,NO_MATCH
3F66D749_175,Ley de Responsabilidad Administrativa de la Ciudad de México,Ley de Responsabilidades Administrativas de la Ciudad de Mexico,491D6477,safe,MATCH: 491D6477
3F66D749_192,Ley General y el presente ordenamiento,Ley General de Proteccion de Datos Personales en Posesion de Sujetos Obligados,A05BF62F,safe,MATCH: A05BF62F
50BEA374_3,Ley de Mejora Regulatoria para la Ciudad de México,Ley de Mejora Regulatoria para la Ciudad de Mexico.,50BEA374,safe,MATCH: 50BEA374
