art_id,entity_text,doc_id,similarity,match_type,type_of_relation
6D0C4493_2,Ley Nacional de Ejecucion Penal,53AD32A3,1.0,name,mencion_ley_oficial
6D0C4493_2,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,1.0,name,mencion_ley_oficial
6D0C4493_3,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,1.0,name,mencion_ley_oficial
6D0C4493_3,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
6D0C4493_3,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
6D0C4493_3,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,1.0,name,mencion_ley_oficial
6D0C4493_3,Ley Nacional de Ejecucion Penal,53AD32A3,1.0,name,mencion_ley_oficial
6D0C4493_3,Reglamento de la Ley de Centros Penitenciarios de la Ciudad de Mexico,6D0C4493,1.0,name,mencion_ley_oficial
6D0C4493_8,Ley Nacional de Ejecucion Penal,53AD32A3,1.0,name,mencion_ley_oficial
6D0C4493_12,Ley de Archivos de la Ciudad de Mexico,B046D35E,1.0,name,mencion_ley_oficial
6D0C4493_27,ley de Archivos de la Ciudad de Mexico,B046D35E,1.0,name,mencion_ley_oficial
6D0C4493_27,Ley de Proteccion de Datos Personales en posesion de Sujetos Obligados de la Ciudad de Mexico,71D41E18,1.0,name,mencion_ley_oficial
6D0C4493_27,Ley de Archivos de la Ciudad de Mexico,B046D35E,1.0,name,mencion_ley_oficial
6D0C4493_30,Codigo Nacional de Procedimientos Penales,514773BB,1.0,name,mencion_ley_oficial
6D0C4493_68,Reglamento del Servicio Profesional de Carrera de la Policia de Proximidad de la Ciudad de Mexico,ACACDF9F,1.0,name,mencion_ley_oficial
6D0C4493_69,"Ley de Premios, Estimulos y Recompensas Civiles",52248ECB,1.0,name,mencion_ley_oficial
6D0C4493_116,Reglamento del Servicio Profesional de Carrera de la Policia de Proximidad de la Ciudad de Mexico,ACACDF9F,1.0,name,mencion_ley_oficial
6D0C4493_120,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,1.0,name,mencion_ley_oficial
6D0C4493_136,Ley de Centros Penitenciarios de la Ciudad de Mexico,3C5257D6,1.0,name,mencion_ley_oficial
6D0C4493_143,Ley de Gestion Integral de Riesgos y Proteccion Civil de la Ciudad de Mexico,3A2C8488,1.0,name,mencion_ley_oficial
6D0C4493_205,Ley Nacional de Ejecucion Penal,53AD32A3,1.0,name,mencion_ley_oficial
2833199A_2,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
5C7BA6A4_1,Ley del Sistema de Seguridad Ciudadana de la Ciudad de Mexico,C538DBF3,1.0,name,mencion_ley_oficial
5C7BA6A4_1,Ley Organica de la Secretaria de Seguridad Ciudadana de la Ciudad de Mexico,6D963B8E,1.0,name,mencion_ley_oficial
5C7BA6A4_3,Reglamento Interior de la Universidad de la Policia de la Ciudad de Mexico,5C7BA6A4,1.0,name,mencion_ley_oficial
5C7BA6A4_4,Reglamento del Servicio Profesional de Carrera de la Policia de Proximidad de la Ciudad de Mexico,ACACDF9F,1.0,name,mencion_ley_oficial
5C7BA6A4_5,Ley del Sistema de Seguridad Ciudadana de la Ciudad de Mexico,C538DBF3,1.0,name,mencion_ley_oficial
5C7BA6A4_5,Reglamento del Servicio Profesional de Carrera de la Policia de Proximidad de la Ciudad de Mexico,ACACDF9F,1.0,name,mencion_ley_oficial
5C7BA6A4_7,Reglamento Interior de la Secretaria de Seguridad Ciudadana de la Ciudad de Mexico,F5B39E56,1.0,name,mencion_ley_oficial
5C7BA6A4_12,"Ley de Transparencia, Acceso a la Informacion Publica y Rendicion de Cuentas de la Ciudad de Mexico",95B2DA77,1.0,name,mencion_ley_oficial
1D958C03_1,Ley de Proteccion a la Salud de los No Fumadores en el Distrito Federal,0A60CDC9,1.0,name,mencion_ley_oficial
1D958C03_2,Ley de Proteccion a la Salud de los No Fumadores en el Distrito Federal,0A60CDC9,1.0,name,mencion_ley_oficial
1D958C03_2,Ley de Proteccion a la Salud de los No Fumadores en el Distrito Federal,0A60CDC9,1.0,name,mencion_ley_oficial
1D958C03_2,Reglamento de la Ley de Proteccion a la Salud de los No Fumadores en el Distrito Federal,1D958C03,1.0,name,mencion_ley_oficial
1D958C03_6,Ley Federal de Responsabilidades de los Servidores Publicos,5AC7EEE1,1.0,name,mencion_ley_oficial
1D958C03_15,Ley del Regimen Patrimonial y del Servicio Publico,0635A949,1.0,name,mencion_ley_oficial
B0784E5D_2,Codigo Penal para el Distrito Federal,FC3F5431,1.0,name,mencion_ley_oficial
B0784E5D_2,Ley General de Responsabilidades Administrativas,8C1C6521,1.0,name,mencion_ley_oficial
B0784E5D_5,Ley General del Sistema Nacional de Seguridad Publica,F094F42B,1.0,name,mencion_ley_oficial
B0784E5D_5,Ley Nacional del Registro de Detenciones,B0E45233,1.0,name,mencion_ley_oficial
B0784E5D_5,Ley Nacional de Ejecucion Penal,53AD32A3,1.0,name,mencion_ley_oficial
B0784E5D_13,Ley Nacional de Ejecucion Penal,53AD32A3,1.0,name,mencion_ley_oficial
B0784E5D_17,Codigo Nacional de Procedimientos Penales,514773BB,1.0,name,mencion_ley_oficial
B0784E5D_24,Ley General de Proteccion de Datos Personales en Posesion de Sujetos Obligados,A05BF62F,1.0,name,mencion_ley_oficial
B0784E5D_24,Ley Nacional del Registro de Detenciones,B0E45233,1.0,name,mencion_ley_oficial
B0784E5D_32,Ley General de Proteccion de Datos Personales en Posesion de Sujetos Obligados,A05BF62F,1.0,name,mencion_ley_oficial
B0784E5D_32,Ley de Proteccion de Datos Personales en Posesion de Sujetos Obligados de la Ciudad de Mexico,71D41E18,1.0,name,mencion_ley_oficial
3F66D749_1,Codigo de Instituciones y Procedimientos Electorales de la Ciudad de Mexico,98C6B489,1.0,name,mencion_ley_oficial
3F66D749_1,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
3F66D749_1,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
3F66D749_1,Ley General de Instituciones y Procedimientos Electorales,F0C556F4,1.0,name,mencion_ley_oficial
3F66D749_1,Ley de Acceso de las Mujeres a una Vida Libre de Violencia de la Ciudad de Mexico,74FF23BF,1.0,name,mencion_ley_oficial
3F66D749_1,Ley de Participacion Ciudadana de la Ciudad de Mexico,71CE1013,1.0,name,mencion_ley_oficial
3F66D749_1,Reglamento Interior del Tribunal Electoral de la Ciudad de Mexico,4EF1658F,1.0,name,mencion_ley_oficial
3F66D749_4,Ley de Responsabilidades Administrativas de la Ciudad de Mexico,491D6477,1.0,name,mencion_ley_oficial
3F66D749_8,Ley General de Partidos Politicos,4D6A87D3,1.0,name,mencion_ley_oficial
3F66D749_8,Ley General de Partidos Politicos,4D6A87D3,1.0,name,mencion_ley_oficial
3F66D749_8,Ley General de Partidos Politicos,4D6A87D3,1.0,name,mencion_ley_oficial
3F66D749_8,Ley General de Partidos Politicos,4D6A87D3,1.0,name,mencion_ley_oficial
3F66D749_8,Ley General de Partidos Politicos,4D6A87D3,1.0,name,mencion_ley_oficial
3F66D749_19,Ley General de Partidos Politicos,4D6A87D3,1.0,name,mencion_ley_oficial
3F66D749_19,Ley General de Partidos Politicos,4D6A87D3,1.0,name,mencion_ley_oficial
3F66D749_33,"Ley de Transparencia, Acceso a la Informacion Publica y Rendicion de Cuentas de la Ciudad de Mexico",95B2DA77,1.0,name,mencion_ley_oficial
3F66D749_114BIS,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
3F66D749_114BIS,Codigo de Instituciones y Procedimientos Electorales de la Ciudad de Mexico,98C6B489,1.0,name,mencion_ley_oficial
3F66D749_119,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
3F66D749_119,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
3F66D749_126,Ley Federal del Trabajo,1E67C48A,1.0,name,mencion_ley_oficial
3F66D749_127,Codigo Federal de Procedimientos Civiles,30672E83,1.0,name,mencion_ley_oficial
3F66D749_132,Ley Federal del Trabajo,1E67C48A,1.0,name,mencion_ley_oficial
3F66D749_164,Ley Federal del Trabajo,1E67C48A,1.0,name,mencion_ley_oficial
3F66D749_174,Ley Federal del Trabajo,1E67C48A,1.0,name,mencion_ley_oficial
50BEA374_4,Ley General de Mejora Regulatoria,6B710AD0,1.0,name,mencion_ley_oficial
50BEA374_4,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
50BEA374_47,Ley de Proteccion de Datos Personales en Posesion de Sujetos Obligados de la Ciudad de Mexico,71D41E18,1.0,name,mencion_ley_oficial
50BEA374_52,Ley del Instituto de Verificacion Administrativa de la Ciudad de Mexico,2911478C,1.0,name,mencion_ley_oficial
50BEA374_82,Ley de Responsabilidades Administrativas de la Ciudad de Mexico,491D6477,1.0,name,mencion_ley_oficial
50BEA374_82,Ley General de Responsabilidades Administrativas,8C1C6521,1.0,name,mencion_ley_oficial
50BEA374_82,Ley de Responsabilidades Administrativas de la Ciudad de Mexico,491D6477,1.0,name,mencion_ley_oficial
D61F4C69_1,Ley de Gestion Integral de Riesgos y Proteccion Civil de la Ciudad de Mexico,3A2C8488,1.0,name,mencion_ley_oficial
D61F4C69_2,Ley General de Proteccion Civil,A8C11A3A,1.0,name,mencion_ley_oficial
D61F4C69_2,Ley de Gestion Integral de Riesgos y Proteccion Civil de la Ciudad de Mexico,3A2C8488,1.0,name,mencion_ley_oficial
D61F4C69_2,Ley de Gestion Integral de Riesgos y Proteccion Civil de la Ciudad de Mexico,3A2C8488,1.0,name,mencion_ley_oficial
D61F4C69_2,Ley General de Proteccion Civil,A8C11A3A,1.0,name,mencion_ley_oficial
D61F4C69_40BIS,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
D61F4C69_40QUATER,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
D61F4C69_56,Reglamento de Construcciones para el Distrito Federal,44022C97,1.0,name,mencion_ley_oficial
D61F4C69_57,Ley para la Celebracion de Espectaculos Publicos en la Ciudad de Mexico,0838354E,1.0,name,mencion_ley_oficial
D61F4C69_58QUATER,Ley para la Celebracion de Espectaculos Publicos en la Ciudad de Mexico,0838354E,1.0,name,mencion_ley_oficial
D61F4C69_60,Ley para la Celebracion de Espectaculos publicos en la Ciudad de Mexico,0838354E,1.0,name,mencion_ley_oficial
D61F4C69_61,Ley de Responsabilidades Administrativas de la Ciudad de Mexico,491D6477,1.0,name,mencion_ley_oficial
D61F4C69_62,Ley Federal de Armas de Fuego y Explosivos,D29991E1,1.0,name,mencion_ley_oficial
