art_id,entity_text,entity_id,similarity,match_type,type_of_relation
6D0C4493_2,Secretaria de Seguridad Ciudadana,6EA49C6C,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_3,Secretaria de Seguridad Ciudadana,6EA49C6C,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_3,Secretaria de Seguridad Ciudadana,6EA49C6C,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_16,Jefatura de Gobierno,E2EEE4C1,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_18,Jefatura de Gobierno,E2EEE4C1,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_67,Universidad de la Policia,5657AD8E,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_68,Universidad de la Policia,5657AD8E,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_72,Comision de Derechos Humanos,E8D7667E,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_95,Universidad de la Policia,5657AD8E,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_99,Secretaria de Administracion y Finanzas,FBE3F640,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_131,Fiscalia General de Justicia,A71DB177,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_132,Secretaria de Salud,2870C225,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_136,Secretaria de Gestion Integral de Riesgos y Proteccion Civil,769FDCA1,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_169,DIF,8663C012,1.0,acronym,mencion_entidad_gubernamental_oficial
6D0C4493_171,Secretaria de Salud,2870C225,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_174,Secretaria de Administracion y Finanzas,FBE3F640,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_184,Tesoreria,67107978,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_195,Secretaria de Salud,2870C225,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_196,Secretaria de Salud,2870C225,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_206,Secretaria de Salud,2870C225,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_207,Secretaria de Salud,2870C225,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_207,Secretaria de Salud,2870C225,1.0,name,mencion_entidad_gubernamental_oficial
6D0C4493_208,Secretaria de Salud,2870C225,1.0,name,mencion_entidad_gubernamental_oficial
