art_id,entity_text,cdmx_official_name,cdmx_doc_id,match_quality,openai_response
1D958C03_6,Reglamento de Verificación Administrativa para el Distrito Federal,Reglamento de Verificacion Administrativa del Distrito Federal,6D6F29EF,safe,MATCH: 6D6F29EF
50BEA374_15,Reglamento de sesiones y demás normativa necesaria para el cumplimiento del objeto de la presente Ley,,,no_match,NO_MATCH
660CBA22_45,"Reglamento de los Centros Penitenciarios de Reclusión del
Distrito Federal",Reglamento de la Ley de Centros Penitenciarios de la Ciudad de Mexico,6D0C4493,safe,MATCH: 6D0C4493
D61F4C69_2,Reglamento de Construcciones vigentes en la Ciudad de México y demás ordenamientos aplicables,Reglamento de Construcciones para el Distrito Federal,44022C97,safe,MATCH: 44022C97
D61F4C69_48,Reglamento para este tipo de establecimientos,Reglamento de la Ley de Establecimientos Mercantiles para la Ciudad de Mexico,7566EC96,safe,MATCH: 7566EC96
D61F4C69_56,Reglamento de Construcciones vigente en la Ciudad de México,Reglamento de Construcciones para el Distrito Federal,44022C97,safe,MATCH: 44022C97
D61F4C69_100,Reglamento de Construcciones del Distrito Federal,Reglamento de Construcciones para el Distrito Federal,44022C97,safe,MATCH: 44022C97
D61F4C69_104,Reglamento de Construcciones del Distrito Federal,Reglamento de Construcciones para el Distrito Federal,44022C97,safe,MATCH: 44022C97
69638137_3,Reglamento de la Ley de Protección y Fomento al Empleo para el Distrito Federal,Reglamento de la Ley de Proteccion y Fomento al Empleo para Distrito Federal,69638137,safe,MATCH: 69638137
E0644EAF_59,Reglamento de Tránsito del Distrito Federal para el procedimiento de arrastre,Reglamento de Transito de la Ciudad de Mexico,057212A0,safe,MATCH: 057212A0
F1B29F7E_9,Reglamento del Consejo así como en la Convocatoria que para tales efectos se emita,,,no_match,NO_MATCH
3A2C8488_2,Reglamento de Construcciones vigentes en la Ciudad de México y demás ordenamientos aplicables,Reglamento de Construcciones para el Distrito Federal,44022C97,safe,MATCH: 44022C97
3A2C8488_5BIS,Reglamento de Construcciones,Reglamento de Construcciones para el Distrito Federal,44022C97,safe,MATCH: 44022C97
3A2C8488_96,Reglamento de Construcciones del Distrito Federal,Reglamento de Construcciones para el Distrito Federal,44022C97,safe,MATCH: 44022C97
293D2FA5_46,"Reglamento para el Programa
de Fomento y Desarrollo Cultural del Distrito Federal",Reglamento de la Ley de Fomento Cultural del Distrito Federal,293D2FA5,safe,MATCH: 293D2FA5
EDEA48F4_2,Reglamento de para Prevenir y Erradicar de Personas,Reglamento de la Ley para Prevenir y Erradicar la Trata de Personas el Abuso Sexual y la Explotacion Sexual Comercial Infantil para el Distrito Federal,EDEA48F4,safe,MATCH: EDEA48F4
C57B66D6_100OCTIES,Reglamento para que en la fabricación de los folios se tomen las medidas de seguridad más adecuadas para procurar su,,,no_match,NO_MATCH
F85A3C2E_3,Reglamento de Construcciones de la Ciudad de México,Reglamento de Construcciones para el Distrito Federal,44022C97,safe,MATCH: 44022C97
F85A3C2E_3,Reglamento de Construcciones del Distrito Federal,Reglamento de Construcciones para el Distrito Federal,44022C97,safe,MATCH: 44022C97
BD22E724_1,Reglamento para las Unidades Administrativas,,,no_match,NO_MATCH
BD22E724_1,Reglamento para las Unidades Administrativas de Apoyo Técnico,,,no_match,NO_MATCH
BD22E724_27,Reglamento de la Ley de Presupuesto y Gasto Eficiente,,,no_match,NO_MATCH
BD22E724_37,Reglamento de Tránsito del Distrito Federal,Reglamento de Transito de la Ciudad de Mexico,057212A0,safe,MATCH: 057212A0
BD22E724_196,Reglamento de Tránsito y a las distintas Dependencias,Reglamento de Transito de la Ciudad de Mexico,057212A0,safe,MATCH: 057212A0
BD22E724_231,Reglamento del Registro Público de la Propiedad de la Ciudad de México y las demás disposiciones que así lo determi,Reglamento de la Ley Registral para la Ciudad de Mexico,C765C1AD,safe,MATCH: C765C1AD
BD22E724_324,Reglamento de Verificaciones,Reglamento de Verificacion Administrativa del Distrito Federal,6D6F29EF,safe,MATCH: 6D6F29EF
BC67F2BE_13,reglamento de comportamiento para los integrantes de sus Grupos de Animación,,,no_match,NO_MATCH
702EE237_165,Reglamento de Archivos del Tribunal y del Consejo de la Judicatura,,,no_match,NO_MATCH
702EE237_166,Reglamento de Archivos del Tribunal y del Consejo de la Judicatura,,,no_match,NO_MATCH
E0A07F07_46,Reglamento de ese Organismo,,,no_match,NO_MATCH
67567B88_52,Reglamento de la materia,,,no_match,NO_MATCH
67567B88_219,Reglamento de la materia,,,no_match,NO_MATCH
67567B88_295,reglamento de este ordenamiento,,,no_match,NO_MATCH
2F07FC1B_54,Reglamento del Registro Civil,Reglamento del Registro Civil de la Ciudad de Mexico,4198B460,safe,MATCH: 4198B460
2F07FC1B_54,Reglamento del Registro Civil,Reglamento del Registro Civil de la Ciudad de Mexico,4198B460,safe,MATCH: 4198B460
2F07FC1B_55,Reglamento del Registro Civil,Reglamento del Registro Civil de la Ciudad de Mexico,4198B460,safe,MATCH: 4198B460
2F07FC1B_55,Reglamento del Registro Civil,Reglamento del Registro Civil de la Ciudad de Mexico,4198B460,safe,MATCH: 4198B460
2F07FC1B_97,Reglamento del Registro Civil,Reglamento del Registro Civil de la Ciudad de Mexico,4198B460,safe,MATCH: 4198B460
2F07FC1B_98,Reglamento del Registro Civil,Reglamento del Registro Civil de la Ciudad de Mexico,4198B460,safe,MATCH: 4198B460
2F07FC1B_135BIS,Reglamento del Registro Civil del Distrito Federal,Reglamento del Registro Civil de la Ciudad de Mexico,4198B460,safe,MATCH: 4198B460
2F07FC1B_137,Reglamento del Registro Civil del Distrito Federal,Reglamento del Registro Civil de la Ciudad de Mexico,4198B460,safe,MATCH: 4198B460
2F07FC1B_138BIS,Reglamento del Registro Civil establecerá los supuestos,Reglamento del Registro Civil de la Ciudad de Mexico,4198B460,safe,MATCH: 4198B460
2F07FC1B_951,Reglamento del Condominio de que se trate,Reglamento de la Ley de Propiedad en Condominio de Inmuebles para el Distrito Federal,1D831B5C,safe,MATCH: 1D831B5C
AC4167EA_3,Reglamento de la Comisión de Box de la Ciudad de México y el desarrollo de espectáculos públicos de boxeo en la Ci,Reglamento de la Comision Tecnica de Box y el Desarrollo de Espectaculos Publicos de Box en la Ciudad de Mexico,AC4167EA,safe,MATCH: AC4167EA
B26FC198_2,"Reglamento de la Ley de Asistencia y Prevención de la Violencia Intrafamiliar del Distrito
Federal",Reglamento de la Ley de Asistencia y Prevension de la Violencia Intrafamiliar del Distrito Federal,B26FC198,safe,MATCH: B26FC198
D0D23E5F_5,Reglamento de la Ley Orgánica de la Fiscalía General de Justicia de la Ciudad de México,,,no_match,NO_MATCH
D0D23E5F_42BIS,Reglamento de Operación y Funcionamiento del Consejo Judicial,,,no_match,NO_MATCH
D0D23E5F_70,Reglamento del Servicio Profesional de Carrera y del Programa de Gestión de Desempeño y Desarrollo Humano,Reglamento del Servicio Profesional de Carrera de la Policia de Proximidad de la Ciudad de Mexico,ACACDF9F,safe,MATCH: ACACDF9F
D0D23E5F_79,Reglamento del Régimen Disciplinario del Personal Sustantivo de la Fiscalía General de Justicia de la Ciudad de Méx,,,no_match,NO_MATCH
BDDCC357_3,Reglamento de los Centros de Desarrollo Infantil,Reglamento de los Centros de Desarrollo Infantil del Tribunal Superior de Justicia del Distrito Federal,BDDCC357,safe,MATCH: BDDCC357
BDDCC357_25,Reglamento de la ley y otras disposiciones jurídicas,,,no_match,NO_MATCH
BDDCC357_45,Reglamento de las Condiciones Generales de Trabajo del Tribunal,,,no_match,NO_MATCH
76DF7409_4,Reglamento de Operación del COTECIAD Técnico Interno de Administración de Documentos,,,no_match,NO_MATCH
7566EC96_2,"Reglamento de
Verificación Administrativa",Reglamento de Verificacion Administrativa del Distrito Federal,6D6F29EF,safe,MATCH: 6D6F29EF
7566EC96_6,"Reglamento de Verificación
Administrativa",Reglamento de Verificacion Administrativa del Distrito Federal,6D6F29EF,safe,MATCH: 6D6F29EF
7566EC96_55,"Reglamento de Construcciones vigente en la Ciudad de México y las Normas
complementarias correspondientes",Reglamento de Construcciones para el Distrito Federal,44022C97,safe,MATCH: 44022C97
5443E289_5,Reglamento de Verificación Administrativa para el Distrito Federal,Reglamento de Verificacion Administrativa del Distrito Federal,6D6F29EF,safe,MATCH: 6D6F29EF
A3D6BE07_4,Reglamento de la Ley de Espacios Culturales Independientes,Reglamento de la Ley de Espacios Culturales Independientes de la Ciudad de Mexico,1E1110C3,safe,MATCH: 1E1110C3
1C73B492_54,Reglamento de la Ley de Transparencia y Acceso a la Información Pública del Distrito Federal,Reglamento de la Ley de Transparencia y Acceso a la Informacion Publica de la Administracion Publica del Distrito Federal,3A1AB6C3,safe,MATCH: 3A1AB6C3
38775BBE_20,Reglamento del Mecanismo que deberá establecer las bases y lineamientos para el eficaz desempeño de sus atribucione,,,no_match,NO_MATCH
3F714625_106,Reglamento de las y los Diputados integrantes de la o las Comisiones dictaminadoras mediante firma autógrafa o dig,Reglamento del Congreso de la Ciudad de Mexico,3F714625,safe,MATCH: 3F714625
3F714625_187,Reglamento para las Comisiones que son responsables de la realización sobre los asuntos a su cargo,,,no_match,NO_MATCH
