art_id,doc_id,type_of_relation
37159EFC_19,37159EFC,mencion_reglamento
3A2C8488_168,3A2C8488,mencion_reglamento
C57B66D6_92,C57B66D6,mencion_reglamento
C57B66D6_100,C57B66D6,mencion_reglamento
6DAE5BFB_20,6DAE5BFB,mencion_reglamento
6DAE5BFB_20,6DAE5BFB,mencion_reglamento
6DAE5BFB_20,6DAE5BFB,mencion_reglamento
6DAE5BFB_21BIS,6DAE5BFB,mencion_reglamento
6DAE5BFB_22,6DAE5BFB,mencion_reglamento
6DAE5BFB_70,6DAE5BFB,mencion_reglamento
BD22E724_324,BD22E724,mencion_reglamento
BD22E724_324,BD22E724,mencion_reglamento
67567B88_25,67567B88,mencion_reglamento
67567B88_34,67567B88,mencion_reglamento
67567B88_43,67567B88,mencion_reglamento
67567B88_57,67567B88,mencion_reglamento
67567B88_106,67567B88,mencion_reglamento
67567B88_200,67567B88,mencion_reglamento
67567B88_269,67567B88,mencion_reglamento
67567B88_269,67567B88,mencion_reglamento
67567B88_296,67567B88,mencion_reglamento
D0D23E5F_33,D0D23E5F,mencion_reglamento
D0D23E5F_34,D0D23E5F,mencion_reglamento
D0D23E5F_35,D0D23E5F,mencion_reglamento
D0D23E5F_46,D0D23E5F,mencion_reglamento
D0D23E5F_48,D0D23E5F,mencion_reglamento
D0D23E5F_50,D0D23E5F,mencion_reglamento
D0D23E5F_63,D0D23E5F,mencion_reglamento
D0D23E5F_65,D0D23E5F,mencion_reglamento
D0D23E5F_65,D0D23E5F,mencion_reglamento
D0D23E5F_70,D0D23E5F,mencion_reglamento
D0D23E5F_76,D0D23E5F,mencion_reglamento
D0D23E5F_78,D0D23E5F,mencion_reglamento
D0D23E5F_79,D0D23E5F,mencion_reglamento
D0D23E5F_100,D0D23E5F,mencion_reglamento
93D6E7AD_21,93D6E7AD,mencion_reglamento
D6164805_15,D6164805,mencion_reglamento
D6164805_20,D6164805,mencion_reglamento
D6164805_31,D6164805,mencion_reglamento
5443E289_51,5443E289,mencion_reglamento
A3D6BE07_10,A3D6BE07,mencion_reglamento
A3D6BE07_11,A3D6BE07,mencion_reglamento
A3D6BE07_12,A3D6BE07,mencion_reglamento
153125A4_21,153125A4,mencion_reglamento
1845EF43_53,1845EF43,mencion_reglamento
FB6CCCAE_105,FB6CCCAE,mencion_reglamento
FB6CCCAE_106,FB6CCCAE,mencion_reglamento
74FF23BF_17,74FF23BF,mencion_reglamento
74FF23BF_22,74FF23BF,mencion_reglamento
74FF23BF_23,74FF23BF,mencion_reglamento
74FF23BF_24,74FF23BF,mencion_reglamento
74FF23BF_25,74FF23BF,mencion_reglamento
74FF23BF_26,74FF23BF,mencion_reglamento
74FF23BF_32,74FF23BF,mencion_reglamento
74FF23BF_35,74FF23BF,mencion_reglamento
74FF23BF_36,74FF23BF,mencion_reglamento
74FF23BF_37,74FF23BF,mencion_reglamento
74FF23BF_39,74FF23BF,mencion_reglamento
74FF23BF_42,74FF23BF,mencion_reglamento
74FF23BF_48,74FF23BF,mencion_reglamento
BA76459A_3,BA76459A,mencion_reglamento
BA76459A_3,BA76459A,mencion_reglamento
BA76459A_7,BA76459A,mencion_reglamento
BA76459A_7,BA76459A,mencion_reglamento
BA76459A_7,BA76459A,mencion_reglamento
BA76459A_7,BA76459A,mencion_reglamento
BA76459A_8,BA76459A,mencion_reglamento
BA76459A_8,BA76459A,mencion_reglamento
BA76459A_8,BA76459A,mencion_reglamento
BA76459A_8,BA76459A,mencion_reglamento
BA76459A_8,BA76459A,mencion_reglamento
BA76459A_8,BA76459A,mencion_reglamento
BA76459A_58,BA76459A,mencion_reglamento
BA76459A_58,BA76459A,mencion_reglamento
BA76459A_64,BA76459A,mencion_reglamento
BA76459A_64,BA76459A,mencion_reglamento
BA76459A_94BIS,BA76459A,mencion_reglamento
0635A949_32,0635A949,mencion_reglamento
0635A949_32,0635A949,mencion_reglamento
09ACB34D_30,09ACB34D,mencion_reglamento
D210670F_9,D210670F,mencion_reglamento
0F3E9F09_8,0F3E9F09,mencion_reglamento
79188754_4,79188754,mencion_reglamento
79188754_24,79188754,mencion_reglamento
79188754_31,79188754,mencion_reglamento
79188754_31,79188754,mencion_reglamento
79188754_127,79188754,mencion_reglamento
79188754_148,79188754,mencion_reglamento
79188754_154,79188754,mencion_reglamento
4BDFB9DB_43,4BDFB9DB,mencion_reglamento
2AC4D6C6_17,2AC4D6C6,mencion_reglamento
2AC4D6C6_25,2AC4D6C6,mencion_reglamento
F1D0E35F_5,F1D0E35F,mencion_reglamento
F1D0E35F_7,F1D0E35F,mencion_reglamento
F1D0E35F_19,F1D0E35F,mencion_reglamento
F1D0E35F_25,F1D0E35F,mencion_reglamento
F1D0E35F_30,F1D0E35F,mencion_reglamento
F1D0E35F_45,F1D0E35F,mencion_reglamento
3C5257D6_84,3C5257D6,mencion_reglamento
3C5257D6_96,3C5257D6,mencion_reglamento
3C5257D6_128,3C5257D6,mencion_reglamento
3C5257D6_138,3C5257D6,mencion_reglamento
7CAEE9BB_9,7CAEE9BB,mencion_reglamento
7CAEE9BB_14,7CAEE9BB,mencion_reglamento
7CAEE9BB_17,7CAEE9BB,mencion_reglamento
82EC20CA_10,82EC20CA,mencion_reglamento
