art_id,doc_id,type_of_relation,total_mentions
2833199A_2,98C6B489,mencion_codigo_general,1
3F66D749_1,98C6B489,mencion_codigo_general,1
3F66D749_8,98C6B489,mencion_codigo_general,1
3F66D749_10,98C6B489,mencion_codigo_general,1
3F66D749_10BIS,98C6B489,mencion_codigo_general,1
3F66D749_102,98C6B489,mencion_codigo_general,1
3F66D749_114BIS,98C6B489,mencion_codigo_general,1
3F66D749_176,35C270ED,mencion_codigo_general,1
491D6477_16,AC512D6A,mencion_codigo_general,2
491D6477_25,AC512D6A,mencion_codigo_general,1
491D6477_49,AC512D6A,mencion_codigo_general,1
F1B29F7E_5,35C270ED,mencion_codigo_general,1
C371528F_14,35C270ED,mencion_codigo_general,1
6DAE5BFB_12,35C270ED,mencion_codigo_general,1
702EE237_7,CF38AF5C,mencion_codigo_general,1
702EE237_59,35C270ED,mencion_codigo_general,1
702EE237_76,35C270ED,mencion_codigo_general,1
702EE237_81,35C270ED,mencion_codigo_general,1
702EE237_84,35C270ED,mencion_codigo_general,1
702EE237_89,35C270ED,mencion_codigo_general,1
702EE237_91,35C270ED,mencion_codigo_general,3
702EE237_105,35C270ED,mencion_codigo_general,3
702EE237_105,CF38AF5C,mencion_codigo_general,1
67567B88_276,35C270ED,mencion_codigo_general,1
67567B88_325,AC512D6A,mencion_codigo_general,1
2F07FC1B_51,35C270ED,mencion_codigo_general,1
2F07FC1B_98,35C270ED,mencion_codigo_general,1
2F07FC1B_206,35C270ED,mencion_codigo_general,1
2F07FC1B_275,35C270ED,mencion_codigo_general,1
2F07FC1B_282,35C270ED,mencion_codigo_general,1
2F07FC1B_323,35C270ED,mencion_codigo_general,1
2F07FC1B_403,35C270ED,mencion_codigo_general,1
2F07FC1B_416,35C270ED,mencion_codigo_general,1
2F07FC1B_416BIS,35C270ED,mencion_codigo_general,1
2F07FC1B_443,35C270ED,mencion_codigo_general,1
2F07FC1B_444,35C270ED,mencion_codigo_general,1
2F07FC1B_447,35C270ED,mencion_codigo_general,1
2F07FC1B_494C,35C270ED,mencion_codigo_general,1
2F07FC1B_513,35C270ED,mencion_codigo_general,1
2F07FC1B_742,35C270ED,mencion_codigo_general,1
2F07FC1B_1156,2F07FC1B,mencion_codigo_general,1
2F07FC1B_1712,35C270ED,mencion_codigo_general,1
2F07FC1B_1725,35C270ED,mencion_codigo_general,1
2F07FC1B_1750,35C270ED,mencion_codigo_general,1
2F07FC1B_1752,35C270ED,mencion_codigo_general,1
2F07FC1B_2118,35C270ED,mencion_codigo_general,1
2F07FC1B_2323,35C270ED,mencion_codigo_general,1
2F07FC1B_2325,35C270ED,mencion_codigo_general,1
2F07FC1B_2545,35C270ED,mencion_codigo_general,1
2F07FC1B_2882,35C270ED,mencion_codigo_general,1
2F07FC1B_2916,35C270ED,mencion_codigo_general,1
2F07FC1B_2965,35C270ED,mencion_codigo_general,1
