art_id,entity_id,type_of_relation
6D0C4493_2,6EA49C6C,mencion_entidad_gubernamental_oficial
6D0C4493_3,6EA49C6C,mencion_entidad_gubernamental_oficial
6D0C4493_3,6EA49C6C,mencion_entidad_gubernamental_oficial
6D0C4493_16,E2EEE4C1,mencion_entidad_gubernamental_oficial
6D0C4493_18,E2EEE4C1,mencion_entidad_gubernamental_oficial
6D0C4493_67,5657AD8E,mencion_entidad_gubernamental_oficial
6D0C4493_68,5657AD8E,mencion_entidad_gubernamental_oficial
6D0C4493_72,E8D7667E,mencion_entidad_gubernamental_oficial
6D0C4493_95,5657AD8E,mencion_entidad_gubernamental_oficial
6D0C4493_99,FBE3F640,mencion_entidad_gubernamental_oficial
6D0C4493_131,A71DB177,mencion_entidad_gubernamental_oficial
6D0C4493_132,2870C225,mencion_entidad_gubernamental_oficial
6D0C4493_136,769FDCA1,mencion_entidad_gubernamental_oficial
6D0C4493_169,8663C012,mencion_entidad_gubernamental_oficial
6D0C4493_171,2870C225,mencion_entidad_gubernamental_oficial
6D0C4493_174,FBE3F640,mencion_entidad_gubernamental_oficial
6D0C4493_184,67107978,mencion_entidad_gubernamental_oficial
6D0C4493_195,2870C225,mencion_entidad_gubernamental_oficial
6D0C4493_196,2870C225,mencion_entidad_gubernamental_oficial
6D0C4493_206,2870C225,mencion_entidad_gubernamental_oficial
6D0C4493_207,2870C225,mencion_entidad_gubernamental_oficial
6D0C4493_207,2870C225,mencion_entidad_gubernamental_oficial
6D0C4493_208,2870C225,mencion_entidad_gubernamental_oficial
6D0C4493_219,26D0C577,mencion_entidad_gubernamental_oficial
6D0C4493_219,E9B9C5D2,mencion_entidad_gubernamental_oficial
6D0C4493_219,19AB6A9B,mencion_entidad_gubernamental_oficial
6D0C4493_219,32A26AD3,mencion_entidad_gubernamental_oficial
6D0C4493_219,2870C225,mencion_entidad_gubernamental_oficial
6D0C4493_219,15EE7EA2,mencion_entidad_gubernamental_oficial
6D0C4493_219,B419D508,mencion_entidad_gubernamental_oficial
6D0C4493_219,E5F1F23C,mencion_entidad_gubernamental_oficial
6D0C4493_219,8663C012,mencion_entidad_gubernamental_oficial
6D0C4493_219,6599D971,mencion_entidad_gubernamental_oficial
6D0C4493_219,E2EEE4C1,mencion_entidad_gubernamental_oficial
2833199A_1,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,172AA7AA,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_2,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_4,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_6,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_7,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_8,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_9,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_9,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_10,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_11,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_14,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_31,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_42,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_47,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_48,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_70,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_71,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_71,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_71,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_71,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_72,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_84,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_84,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_91,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_93,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_106,3F32FC52,mencion_entidad_gubernamental_oficial
2833199A_107,3F32FC52,mencion_entidad_gubernamental_oficial
5C7BA6A4_1,5657AD8E,mencion_entidad_gubernamental_oficial
5C7BA6A4_2,5657AD8E,mencion_entidad_gubernamental_oficial
5C7BA6A4_2,6EA49C6C,mencion_entidad_gubernamental_oficial
5C7BA6A4_3,5657AD8E,mencion_entidad_gubernamental_oficial
5C7BA6A4_3,6EA49C6C,mencion_entidad_gubernamental_oficial
5C7BA6A4_3,5657AD8E,mencion_entidad_gubernamental_oficial
5C7BA6A4_3,5657AD8E,mencion_entidad_gubernamental_oficial
5C7BA6A4_11,769FDCA1,mencion_entidad_gubernamental_oficial
1D958C03_2,2870C225,mencion_entidad_gubernamental_oficial
1D958C03_3,2870C225,mencion_entidad_gubernamental_oficial
1D958C03_7,2870C225,mencion_entidad_gubernamental_oficial
1D958C03_8,2870C225,mencion_entidad_gubernamental_oficial
1D958C03_14,2870C225,mencion_entidad_gubernamental_oficial
B0784E5D_1,E2EEE4C1,mencion_entidad_gubernamental_oficial
B0784E5D_3,E2EEE4C1,mencion_entidad_gubernamental_oficial
B0784E5D_3,A71DB177,mencion_entidad_gubernamental_oficial
B0784E5D_3,A71DB177,mencion_entidad_gubernamental_oficial
B0784E5D_4,6EA49C6C,mencion_entidad_gubernamental_oficial
B0784E5D_4,919DEC37,mencion_entidad_gubernamental_oficial
B0784E5D_4,11A7BB35,mencion_entidad_gubernamental_oficial
B0784E5D_5,E2EEE4C1,mencion_entidad_gubernamental_oficial
B0784E5D_11,E2EEE4C1,mencion_entidad_gubernamental_oficial
B0784E5D_11,75DF8F56,mencion_entidad_gubernamental_oficial
B0784E5D_12,A71DB177,mencion_entidad_gubernamental_oficial
B0784E5D_16,E2EEE4C1,mencion_entidad_gubernamental_oficial
B0784E5D_22,6EA49C6C,mencion_entidad_gubernamental_oficial
B0784E5D_22,919DEC37,mencion_entidad_gubernamental_oficial
B0784E5D_24,6EA49C6C,mencion_entidad_gubernamental_oficial
3F66D749_1,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_1,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_1,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_1,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_1,E2EEE4C1,mencion_entidad_gubernamental_oficial
3F66D749_1,14C01911,mencion_entidad_gubernamental_oficial
3F66D749_1,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_1,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_2,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_2,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_3,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_3,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_3,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_3,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_3,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_3,E2EEE4C1,mencion_entidad_gubernamental_oficial
3F66D749_4,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_4,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_5,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_6,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_6,172AA7AA,mencion_entidad_gubernamental_oficial
