art_id,type_of_relation,doc_id
6D0C4493_1,art_parte_doc,6D0C4493
6D0C4493_2,art_parte_doc,6D0C4493
6D0C4493_3,art_parte_doc,6D0C4493
6D0C4493_4,art_parte_doc,6D0C4493
6D0C4493_5,art_parte_doc,6D0C4493
6D0C4493_6,art_parte_doc,6D0C4493
6D0C4493_7,art_parte_doc,6D0C4493
6D0C4493_8,art_parte_doc,6D0C4493
6D0C4493_9,art_parte_doc,6D0C4493
6D0C4493_10,art_parte_doc,6D0C4493
6D0C4493_11,art_parte_doc,6D0C4493
6D0C4493_12,art_parte_doc,6D0C4493
6D0C4493_13,art_parte_doc,6D0C4493
6D0C4493_14,art_parte_doc,6D0C4493
6D0C4493_15,art_parte_doc,6D0C4493
6D0C4493_16,art_parte_doc,6D0C4493
6D0C4493_17,art_parte_doc,6D0C4493
6D0C4493_18,art_parte_doc,6D0C4493
6D0C4493_19,art_parte_doc,6D0C4493
6D0C4493_20,art_parte_doc,6D0C4493
6D0C4493_21,art_parte_doc,6D0C4493
6D0C4493_22,art_parte_doc,6D0C4493
6D0C4493_23,art_parte_doc,6D0C4493
6D0C4493_24,art_parte_doc,6D0C4493
6D0C4493_25,art_parte_doc,6D0C4493
6D0C4493_26,art_parte_doc,6D0C4493
6D0C4493_27,art_parte_doc,6D0C4493
6D0C4493_28,art_parte_doc,6D0C4493
6D0C4493_29,art_parte_doc,6D0C4493
6D0C4493_30,art_parte_doc,6D0C4493
6D0C4493_31,art_parte_doc,6D0C4493
6D0C4493_32,art_parte_doc,6D0C4493
6D0C4493_33,art_parte_doc,6D0C4493
6D0C4493_34,art_parte_doc,6D0C4493
6D0C4493_35,art_parte_doc,6D0C4493
6D0C4493_36,art_parte_doc,6D0C4493
6D0C4493_37,art_parte_doc,6D0C4493
6D0C4493_38,art_parte_doc,6D0C4493
6D0C4493_39,art_parte_doc,6D0C4493
6D0C4493_40,art_parte_doc,6D0C4493
6D0C4493_41,art_parte_doc,6D0C4493
6D0C4493_42,art_parte_doc,6D0C4493
6D0C4493_43,art_parte_doc,6D0C4493
6D0C4493_44,art_parte_doc,6D0C4493
6D0C4493_45,art_parte_doc,6D0C4493
6D0C4493_46,art_parte_doc,6D0C4493
6D0C4493_47,art_parte_doc,6D0C4493
6D0C4493_48,art_parte_doc,6D0C4493
6D0C4493_49,art_parte_doc,6D0C4493
6D0C4493_50,art_parte_doc,6D0C4493
6D0C4493_51,art_parte_doc,6D0C4493
6D0C4493_52,art_parte_doc,6D0C4493
6D0C4493_53,art_parte_doc,6D0C4493
6D0C4493_54,art_parte_doc,6D0C4493
6D0C4493_55,art_parte_doc,6D0C4493
6D0C4493_56,art_parte_doc,6D0C4493
6D0C4493_57,art_parte_doc,6D0C4493
6D0C4493_58,art_parte_doc,6D0C4493
6D0C4493_59,art_parte_doc,6D0C4493
6D0C4493_60,art_parte_doc,6D0C4493
6D0C4493_61,art_parte_doc,6D0C4493
6D0C4493_62,art_parte_doc,6D0C4493
6D0C4493_63,art_parte_doc,6D0C4493
6D0C4493_64,art_parte_doc,6D0C4493
6D0C4493_65,art_parte_doc,6D0C4493
6D0C4493_66,art_parte_doc,6D0C4493
6D0C4493_67,art_parte_doc,6D0C4493
6D0C4493_68,art_parte_doc,6D0C4493
6D0C4493_69,art_parte_doc,6D0C4493
6D0C4493_70,art_parte_doc,6D0C4493
6D0C4493_71,art_parte_doc,6D0C4493
6D0C4493_72,art_parte_doc,6D0C4493
6D0C4493_73,art_parte_doc,6D0C4493
6D0C4493_74,art_parte_doc,6D0C4493
6D0C4493_75,art_parte_doc,6D0C4493
6D0C4493_76,art_parte_doc,6D0C4493
6D0C4493_77,art_parte_doc,6D0C4493
6D0C4493_78,art_parte_doc,6D0C4493
6D0C4493_79,art_parte_doc,6D0C4493
6D0C4493_80,art_parte_doc,6D0C4493
6D0C4493_81,art_parte_doc,6D0C4493
6D0C4493_82,art_parte_doc,6D0C4493
6D0C4493_83,art_parte_doc,6D0C4493
6D0C4493_84,art_parte_doc,6D0C4493
6D0C4493_85,art_parte_doc,6D0C4493
6D0C4493_86,art_parte_doc,6D0C4493
6D0C4493_87,art_parte_doc,6D0C4493
6D0C4493_88,art_parte_doc,6D0C4493
6D0C4493_89,art_parte_doc,6D0C4493
6D0C4493_90,art_parte_doc,6D0C4493
6D0C4493_91,art_parte_doc,6D0C4493
6D0C4493_92,art_parte_doc,6D0C4493
6D0C4493_93,art_parte_doc,6D0C4493
6D0C4493_94,art_parte_doc,6D0C4493
6D0C4493_95,art_parte_doc,6D0C4493
6D0C4493_96,art_parte_doc,6D0C4493
6D0C4493_97,art_parte_doc,6D0C4493
6D0C4493_98,art_parte_doc,6D0C4493
6D0C4493_99,art_parte_doc,6D0C4493
6D0C4493_100,art_parte_doc,6D0C4493
6D0C4493_101,art_parte_doc,6D0C4493
6D0C4493_102,art_parte_doc,6D0C4493
6D0C4493_103,art_parte_doc,6D0C4493
6D0C4493_104,art_parte_doc,6D0C4493
6D0C4493_105,art_parte_doc,6D0C4493
6D0C4493_106,art_parte_doc,6D0C4493
6D0C4493_107,art_parte_doc,6D0C4493
6D0C4493_108,art_parte_doc,6D0C4493
6D0C4493_109,art_parte_doc,6D0C4493
6D0C4493_110,art_parte_doc,6D0C4493
6D0C4493_111,art_parte_doc,6D0C4493
6D0C4493_112,art_parte_doc,6D0C4493
6D0C4493_113,art_parte_doc,6D0C4493
6D0C4493_114,art_parte_doc,6D0C4493
6D0C4493_115,art_parte_doc,6D0C4493
6D0C4493_116,art_parte_doc,6D0C4493
6D0C4493_117,art_parte_doc,6D0C4493
6D0C4493_118,art_parte_doc,6D0C4493
6D0C4493_119,art_parte_doc,6D0C4493
6D0C4493_120,art_parte_doc,6D0C4493
6D0C4493_121,art_parte_doc,6D0C4493
6D0C4493_122,art_parte_doc,6D0C4493
6D0C4493_123,art_parte_doc,6D0C4493
6D0C4493_124,art_parte_doc,6D0C4493
6D0C4493_125,art_parte_doc,6D0C4493
6D0C4493_126,art_parte_doc,6D0C4493
6D0C4493_127,art_parte_doc,6D0C4493
6D0C4493_128,art_parte_doc,6D0C4493
6D0C4493_129,art_parte_doc,6D0C4493
6D0C4493_130,art_parte_doc,6D0C4493
6D0C4493_131,art_parte_doc,6D0C4493
6D0C4493_132,art_parte_doc,6D0C4493
6D0C4493_133,art_parte_doc,6D0C4493
6D0C4493_134,art_parte_doc,6D0C4493
6D0C4493_135,art_parte_doc,6D0C4493
6D0C4493_136,art_parte_doc,6D0C4493
6D0C4493_137,art_parte_doc,6D0C4493
6D0C4493_138,art_parte_doc,6D0C4493
6D0C4493_139,art_parte_doc,6D0C4493
6D0C4493_140,art_parte_doc,6D0C4493
6D0C4493_141,art_parte_doc,6D0C4493
6D0C4493_142,art_parte_doc,6D0C4493
6D0C4493_143,art_parte_doc,6D0C4493
6D0C4493_144,art_parte_doc,6D0C4493
6D0C4493_145,art_parte_doc,6D0C4493
6D0C4493_146,art_parte_doc,6D0C4493
6D0C4493_147,art_parte_doc,6D0C4493
6D0C4493_148,art_parte_doc,6D0C4493
6D0C4493_149,art_parte_doc,6D0C4493
6D0C4493_150,art_parte_doc,6D0C4493
6D0C4493_151,art_parte_doc,6D0C4493
6D0C4493_152,art_parte_doc,6D0C4493
6D0C4493_153,art_parte_doc,6D0C4493
6D0C4493_154,art_parte_doc,6D0C4493
6D0C4493_155,art_parte_doc,6D0C4493
6D0C4493_156,art_parte_doc,6D0C4493
6D0C4493_157,art_parte_doc,6D0C4493
6D0C4493_158,art_parte_doc,6D0C4493
6D0C4493_159,art_parte_doc,6D0C4493
6D0C4493_160,art_parte_doc,6D0C4493
6D0C4493_161,art_parte_doc,6D0C4493
6D0C4493_162,art_parte_doc,6D0C4493
6D0C4493_163,art_parte_doc,6D0C4493
6D0C4493_164,art_parte_doc,6D0C4493
6D0C4493_165,art_parte_doc,6D0C4493
6D0C4493_166,art_parte_doc,6D0C4493
6D0C4493_167,art_parte_doc,6D0C4493
6D0C4493_168,art_parte_doc,6D0C4493
6D0C4493_169,art_parte_doc,6D0C4493
6D0C4493_170,art_parte_doc,6D0C4493
6D0C4493_171,art_parte_doc,6D0C4493
6D0C4493_172,art_parte_doc,6D0C4493
6D0C4493_173,art_parte_doc,6D0C4493
6D0C4493_174,art_parte_doc,6D0C4493
6D0C4493_175,art_parte_doc,6D0C4493
6D0C4493_176,art_parte_doc,6D0C4493
6D0C4493_177,art_parte_doc,6D0C4493
6D0C4493_178,art_parte_doc,6D0C4493
6D0C4493_179,art_parte_doc,6D0C4493
6D0C4493_180,art_parte_doc,6D0C4493
6D0C4493_181,art_parte_doc,6D0C4493
6D0C4493_182,art_parte_doc,6D0C4493
6D0C4493_183,art_parte_doc,6D0C4493
6D0C4493_184,art_parte_doc,6D0C4493
6D0C4493_185,art_parte_doc,6D0C4493
6D0C4493_186,art_parte_doc,6D0C4493
6D0C4493_187,art_parte_doc,6D0C4493
6D0C4493_188,art_parte_doc,6D0C4493
6D0C4493_189,art_parte_doc,6D0C4493
6D0C4493_190,art_parte_doc,6D0C4493
6D0C4493_191,art_parte_doc,6D0C4493
6D0C4493_192,art_parte_doc,6D0C4493
6D0C4493_193,art_parte_doc,6D0C4493
6D0C4493_194,art_parte_doc,6D0C4493
6D0C4493_195,art_parte_doc,6D0C4493
6D0C4493_196,art_parte_doc,6D0C4493
6D0C4493_197,art_parte_doc,6D0C4493
6D0C4493_198,art_parte_doc,6D0C4493
6D0C4493_199,art_parte_doc,6D0C4493
6D0C4493_200,art_parte_doc,6D0C4493
6D0C4493_201,art_parte_doc,6D0C4493
6D0C4493_202,art_parte_doc,6D0C4493
6D0C4493_203,art_parte_doc,6D0C4493
6D0C4493_204,art_parte_doc,6D0C4493
6D0C4493_205,art_parte_doc,6D0C4493
6D0C4493_206,art_parte_doc,6D0C4493
6D0C4493_207,art_parte_doc,6D0C4493
6D0C4493_208,art_parte_doc,6D0C4493
6D0C4493_209,art_parte_doc,6D0C4493
6D0C4493_210,art_parte_doc,6D0C4493
6D0C4493_211,art_parte_doc,6D0C4493
6D0C4493_212,art_parte_doc,6D0C4493
6D0C4493_213,art_parte_doc,6D0C4493
6D0C4493_214,art_parte_doc,6D0C4493
6D0C4493_215,art_parte_doc,6D0C4493
6D0C4493_216,art_parte_doc,6D0C4493
6D0C4493_217,art_parte_doc,6D0C4493
6D0C4493_218,art_parte_doc,6D0C4493
6D0C4493_219,art_parte_doc,6D0C4493
6D0C4493_220,art_parte_doc,6D0C4493
6D0C4493_221,art_parte_doc,6D0C4493
6D0C4493_222,art_parte_doc,6D0C4493
6D0C4493_223,art_parte_doc,6D0C4493
6D0C4493_224,art_parte_doc,6D0C4493
6D0C4493_225,art_parte_doc,6D0C4493
6D0C4493_TRANS,art_parte_doc,6D0C4493
2833199A_1,art_parte_doc,2833199A
2833199A_2,art_parte_doc,2833199A
2833199A_3,art_parte_doc,2833199A
2833199A_4,art_parte_doc,2833199A
2833199A_5,art_parte_doc,2833199A
2833199A_6,art_parte_doc,2833199A
2833199A_7,art_parte_doc,2833199A
2833199A_8,art_parte_doc,2833199A
2833199A_9,art_parte_doc,2833199A
2833199A_10,art_parte_doc,2833199A
2833199A_11,art_parte_doc,2833199A
2833199A_12,art_parte_doc,2833199A
2833199A_13,art_parte_doc,2833199A
2833199A_14,art_parte_doc,2833199A
2833199A_15,art_parte_doc,2833199A
2833199A_16,art_parte_doc,2833199A
2833199A_17,art_parte_doc,2833199A
2833199A_18,art_parte_doc,2833199A
2833199A_19,art_parte_doc,2833199A
2833199A_20,art_parte_doc,2833199A
2833199A_21,art_parte_doc,2833199A
2833199A_22,art_parte_doc,2833199A
2833199A_23,art_parte_doc,2833199A
2833199A_24,art_parte_doc,2833199A
