art_id,entity_text,cdmx_official_name,doc_id,match_quality,openai_response
2833199A_15,Código para las sesiones ordinarias y extraordinarias según corresponda,,,no_match,NO_MATCH
3F66D749_18,Código para las y los ministros de culto,,,no_match,NO_MATCH
660CBA22_14,Código de Procedimientos Penales para el Distrito Federal,,,no_match,NO_MATCH
EDEA48F4_19,Código de Procedimientos Penales para el Distrito Federal,,,no_match,NO_MATCH
702EE237_377,Código de Ética del Tribunal Superior de Justicia,,,no_match,NO_MATCH
702EE237_379,Código de Ética del Tribunal Superior de Justicia,,,no_match,NO_MATCH
2F07FC1B_678,Código de Procedimientos asigne para los negocios de mayor interés,,,no_match,NO_MATCH
2F07FC1B_733,Código de la materia,,,no_match,NO_MATCH
2F07FC1B_835,Código de la materia,,,no_match,NO_MATCH
2F07FC1B_1707,Código de la materia,,,no_match,NO_MATCH
2F07FC1B_2100,Código de la materia,,,no_match,NO_MATCH
2F07FC1B_2994,Código de Procedimientos,,,no_match,NO_MATCH
98C6B489_22,código de forma conjunta,,,no_match,NO_MATCH
98C6B489_253,Código para el registro,,,no_match,NO_MATCH
FC3F5431_31,código para efectos de la protección y seguridad,,,no_match,NO_MATCH
0635A949_58,Código para que aquella opere,,,no_match,NO_MATCH
09ACB34D_26,Código de Procedimientos Penales de la Ciudad de México,,,no_match,NO_MATCH
79188754_1,Código de Procedimientos Penales para el Distrito Federal,,,no_match,NO_MATCH
79188754_4,Código de Procedimientos Penales,,,no_match,NO_MATCH
79188754_4,Código de Procedimientos Penales para el Distrito Federal,,,no_match,NO_MATCH
79188754_9,Código de Procedimientos Penales,,,no_match,NO_MATCH
79188754_14,Código de Procedimientos Penales y constar por escrito en la causa,,,no_match,NO_MATCH
79188754_14,Código de Procedimientos Penales prohíba que se vea,,,no_match,NO_MATCH
79188754_14,Código de Procedimientos Penales,,,no_match,NO_MATCH
79188754_15,Código de Procedimientos Penales,,,no_match,NO_MATCH
79188754_21,Código de Procedimientos Penales,,,no_match,NO_MATCH
C22DAF01_214,código de señales que opera en el país,,,no_match,NO_MATCH
4EF1658F_39,Código para ocupar el cargo,,,no_match,NO_MATCH
2AC4D6C6_49,Código de visita domiciliaria de Secretaría de Seguridad Pública del Distrito Federal,,,no_match,NO_MATCH
492F14DC_5,Código de Ética de los Servicios Profesionales Inmobiliarios en el Distrito Federal,,,no_match,NO_MATCH
