art_id,nombre_reglamento_normalized,nombre_reglamento_normalized_created,match_version_used,doc_id,nombre_ley_matched,similarity,type_of_relation
0635A949_32,REGLAMENTODELALEYDELREGIMENPATRIMONIALYDELSERVICIOPUBLICO,REGLAMENTODELALEYDELREGIMENPATRIMONIALYDELSERVICIOPUBLICO,,,,0.0,mencion_reglamento
0635A949_32,REGLAMENTODELALEYDELREGIMENPATRIMONIALYDELSERVICIOPUBLICO,REGLAMENTODELALEYDELREGIMENPATRIMONIALYDELSERVICIOPUBLICO,,,,0.0,mencion_reglamento
09ACB34D_30,REGLAMENTODELALEYDELOSDERECHOSCULTURALESDELOSHABITANTESYVISITANTESDELACIUDADDEMEXICO,REGLAMENTODELALEYDELOSDERECHOSCULTURALESDELOSHABITANTESYVISITANTESDELADISTRITOFEDERAL,,,,0.0,mencion_reglamento
0F3E9F09_8,REGLAMENTODELALEYQUEESTABLECEELDERECHOARECIBIRUNAPOYOALIMENTARIOALASMADRESSOLASDEESCASOSRECURSOSRESIDENTESENLACIUDADDEMEXICO,REGLAMENTODELALEYQUEESTABLECEELDERECHOARECIBIRUNAPOYOALIMENTARIOALASMADRESSOLASDEESCASOSRECURSOSRESIDENTESENLADISTRITOFEDERAL,,,,0.0,mencion_reglamento
4BDFB9DB_43,REGLAMENTODELALEYDEPLANEACIONDEMOGRAFICAYESTADISTICAPARALAPOBLACIONDELDISTRITOFEDERAL,REGLAMENTODELALEYDEPLANEACIONDEMOGRAFICAYESTADISTICAPARALAPOBLACIONDELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
2AC4D6C6_17,REGLAMENTODELALEYPARALAPROTECCIONINTEGRALDEPERSONASDEFENSORASDEDERECHOSHUMANOSYPERIODISTASDELDISTRITOFEDERAL,REGLAMENTODELALEYPARALAPROTECCIONINTEGRALDEPERSONASDEFENSORASDEDERECHOSHUMANOSYPERIODISTASDELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
2AC4D6C6_25,REGLAMENTODELALEYPARALAPROTECCIONINTEGRALDEPERSONASDEFENSORASDEDERECHOSHUMANOSYPERIODISTASDELDISTRITOFEDERAL,REGLAMENTODELALEYPARALAPROTECCIONINTEGRALDEPERSONASDEFENSORASDEDERECHOSHUMANOSYPERIODISTASDELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
F1D0E35F_5,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
F1D0E35F_7,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
F1D0E35F_19,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
F1D0E35F_25,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
F1D0E35F_30,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
F1D0E35F_45,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,REGLAMENTODELALEYDELADEFENSORIAPUBLICADELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
7CAEE9BB_9,REGLAMENTODELALEYQUEREGULAELUSODETECNOLOGIAPARALASEGURIDADPUBLICADELDISTRITOFEDERAL,REGLAMENTODELALEYQUEREGULAELUSODETECNOLOGIAPARALASEGURIDADPUBLICADELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
7CAEE9BB_14,REGLAMENTODELALEYQUEREGULAELUSODETECNOLOGIAPARALASEGURIDADPUBLICADELDISTRITOFEDERAL,REGLAMENTODELALEYQUEREGULAELUSODETECNOLOGIAPARALASEGURIDADPUBLICADELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
7CAEE9BB_17,REGLAMENTODELALEYQUEREGULAELUSODETECNOLOGIAPARALASEGURIDADPUBLICADELDISTRITOFEDERAL,REGLAMENTODELALEYQUEREGULAELUSODETECNOLOGIAPARALASEGURIDADPUBLICADELDISTRITOFEDERAL,,,,0.0,mencion_reglamento
2B5D3921_6,REGLAMENTODELALEYDEBEBESEGURODELACIUDADDEMEXICO,REGLAMENTODELALEYDEBEBESEGURODELADISTRITOFEDERAL,,,,0.0,mencion_reglamento
2B5D3921_16,REGLAMENTODELALEYDEBEBESEGURODELACIUDADDEMEXICO,REGLAMENTODELALEYDEBEBESEGURODELADISTRITOFEDERAL,,,,0.0,mencion_reglamento
110111A4_20,REGLAMENTODELALEYDEFOMENTOPARALALECTURAYELLIBRODELACIUDADDEMEXICO,REGLAMENTODELALEYDEFOMENTOPARALALECTURAYELLIBRODELADISTRITOFEDERAL,,,,0.0,mencion_reglamento
2911478C_4,REGLAMENTODELALEYDELINSTITUTODEVERIFICACIONADMINISTRATIVADELACIUDADDEMEXICO,REGLAMENTODELALEYDELINSTITUTODEVERIFICACIONADMINISTRATIVADELADISTRITOFEDERAL,,,,0.0,mencion_reglamento
FFE8242A_9,REGLAMENTODELALEYDECIUDADANIADIGITALDELACIUDADDEMEXICO,REGLAMENTODELALEYDECIUDADANIADIGITALDELADISTRITOFEDERAL,,,,0.0,mencion_reglamento
