art_id,entity_text,cdmx_official_name,doc_id,match_quality,openai_response
B0784E5D_2,Ley de Responsabilidades de la Ciudad de México,,,no_match,NO_MATCH
3F66D749_1,ley de la materia,,,no_match,NO_MATCH
3F66D749_3,Ley General y este Código,,,no_match,NO_MATCH
3F66D749_28,Ley de la materia,,,no_match,NO_MATCH
3F66D749_101QUATER,ley de la materia,,,no_match,NO_MATCH
3F66D749_171,ley de la materia,,,no_match,NO_MATCH
660CBA22_3,"Ley para los efectos de este Reglamento se
entenderá por",,,no_match,NO_MATCH
660CBA22_44,"Ley de
la materia",,,no_match,NO_MATCH
D61F4C69_43,Ley sobre la integración del mismo,,,no_match,NO_MATCH
D61F4C69_52,Ley para cada tipo de Programa Interno,,,no_match,NO_MATCH
491D6477_37,Ley de Ciencia y Tecnología,,,no_match,NO_MATCH
E0644EAF_71,Ley para la sustanciación del procedimiento de revocación,,,no_match,NO_MATCH
37159EFC_39,Ley para la presentación de los Avisos y el otorgamiento de Permisos,,,no_match,NO_MATCH
293D2FA5_40,Ley para la emisión del Programa,,,no_match,NO_MATCH
293D2FA5_58,Ley para su correspondiente publicación,,,no_match,NO_MATCH
C57B66D6_189,Ley de la materia para los intestados,,,no_match,NO_MATCH
C57B66D6_228,ley de la materia,,,no_match,NO_MATCH
6DAE5BFB_6,Ley para efectos administrativos,,,no_match,NO_MATCH
6DAE5BFB_16,Ley Federal sobre Metrología y Normalización para exigir la misma calidad a los bienes de procedencia extranjera respecto de los bienes nacionales,,,no_match,NO_MATCH
6DAE5BFB_20,Ley para el Comité,,,no_match,NO_MATCH
F85A3C2E_3,ley de la materia,,,no_match,NO_MATCH
F85A3C2E_31,ley de la materia,,,no_match,NO_MATCH
BD22E724_27,Ley de Presupuesto y Gasto Eficiente,,,no_match,NO_MATCH
BD22E724_32,ley de la materia y en el presente Reglamento,,,no_match,NO_MATCH
BD22E724_33,ley de la materia y en el presente Reglamento,,,no_match,NO_MATCH
BD22E724_153BIS,ley de la materia,,,no_match,NO_MATCH
BD22E724_157,ley de la materia y en el presente Reglamento,,,no_match,NO_MATCH
BD22E724_159,ley de la materia y en el presente Reglamento,,,no_match,NO_MATCH
BD22E724_160,ley de la materia y en el presente Reglamento,,,no_match,NO_MATCH
BD22E724_162,ley de la materia y en el presente Reglamento,,,no_match,NO_MATCH
BD22E724_162BIS,ley de la materia y en el presente Reglamento,,,no_match,NO_MATCH
BD22E724_163,ley de la materia y en el presente Reglamento,,,no_match,NO_MATCH
BD22E724_164,ley de la materia y en el presente Reglamento,,,no_match,NO_MATCH
BD22E724_167,Ley de la materia,,,no_match,NO_MATCH
BD22E724_170SEXIES,Ley de la materia y demás disposiciones legales y reglamentarias aplicables,,,no_match,NO_MATCH
BD22E724_170NONIES,Ley de la materia,,,no_match,NO_MATCH
BD22E724_171,Ley de la Materia,,,no_match,NO_MATCH
BD22E724_172UNDECIES,Ley de la materia,,,no_match,NO_MATCH
BD22E724_229,Ley de la materia,,,no_match,NO_MATCH
BD22E724_299,Ley de la materia,,,no_match,NO_MATCH
702EE237_21,ley de la materia,,,no_match,NO_MATCH
702EE237_22,ley de la materia,,,no_match,NO_MATCH
702EE237_36,Ley para puestos similares,,,no_match,NO_MATCH
702EE237_43,Ley de la materia,,,no_match,NO_MATCH
702EE237_65,Ley de la materia,,,no_match,NO_MATCH
702EE237_85,Ley de la materia,,,no_match,NO_MATCH
702EE237_117,ley de la materia,,,no_match,NO_MATCH
702EE237_118,Ley para ejercer las sindicaturas y cuya reputación y antecedentes de competencia y moralidad sean notorios,,,no_match,NO_MATCH
702EE237_127,ley de la materia,,,no_match,NO_MATCH
702EE237_185,ley de la materia,,,no_match,NO_MATCH
702EE237_187,ley de la materia,,,no_match,NO_MATCH
702EE237_192,ley de la materia,,,no_match,NO_MATCH
702EE237_194,ley de la materia,,,no_match,NO_MATCH
702EE237_195,ley de la materia,,,no_match,NO_MATCH
702EE237_198,ley de la materia,,,no_match,NO_MATCH
702EE237_345,ley de la materia,,,no_match,NO_MATCH
702EE237_346,ley de la materia,,,no_match,NO_MATCH
702EE237_350,ley para tal efecto,,,no_match,NO_MATCH
702EE237_411,Ley de la Materia,,,no_match,NO_MATCH
E9E40322_26,ley de la materia,,,no_match,NO_MATCH
E0A07F07_5,ley de la materia,,,no_match,NO_MATCH
E0A07F07_39,Ley para su sustitución,,,no_match,NO_MATCH
67567B88_141,Ley para la expedición de la declaratoria respectiva,,,no_match,NO_MATCH
67567B88_146,Ley de la materia,,,no_match,NO_MATCH
