art_id,entity_text,cdmx_official_name,doc_id,match_quality,openai_response
50BEA374_15,Reglamento de sesiones y demás normativa necesaria para el cumplimiento del objeto de la presente Ley,,,no_match,NO_MATCH
F1B29F7E_9,Reglamento del Consejo así como en la Convocatoria que para tales efectos se emita,,,no_match,NO_MATCH
C57B66D6_100OCTIES,Reglamento para que en la fabricación de los folios se tomen las medidas de seguridad más adecuadas para procurar su,,,no_match,NO_MATCH
BD22E724_1,Reglamento para las Unidades Administrativas,,,no_match,NO_MATCH
BD22E724_1,Reglamento para las Unidades Administrativas de Apoyo Técnico,,,no_match,NO_MATCH
BD22E724_27,Reglamento de la Ley de Presupuesto y Gasto Eficiente,,,no_match,NO_MATCH
BC67F2BE_13,reglamento de comportamiento para los integrantes de sus Grupos de Animación,,,no_match,NO_MATCH
702EE237_165,Reglamento de Archivos del Tribunal y del Consejo de la Judicatura,,,no_match,NO_MATCH
702EE237_166,Reglamento de Archivos del Tribunal y del Consejo de la Judicatura,,,no_match,NO_MATCH
E0A07F07_46,Reglamento de ese Organismo,,,no_match,NO_MATCH
67567B88_52,Reglamento de la materia,,,no_match,NO_MATCH
67567B88_219,Reglamento de la materia,,,no_match,NO_MATCH
67567B88_295,reglamento de este ordenamiento,,,no_match,NO_MATCH
D0D23E5F_5,Reglamento de la Ley Orgánica de la Fiscalía General de Justicia de la Ciudad de México,,,no_match,NO_MATCH
D0D23E5F_42BIS,Reglamento de Operación y Funcionamiento del Consejo Judicial,,,no_match,NO_MATCH
D0D23E5F_79,Reglamento del Régimen Disciplinario del Personal Sustantivo de la Fiscalía General de Justicia de la Ciudad de Méx,,,no_match,NO_MATCH
BDDCC357_25,Reglamento de la ley y otras disposiciones jurídicas,,,no_match,NO_MATCH
BDDCC357_45,Reglamento de las Condiciones Generales de Trabajo del Tribunal,,,no_match,NO_MATCH
76DF7409_4,Reglamento de Operación del COTECIAD Técnico Interno de Administración de Documentos,,,no_match,NO_MATCH
