doc_id_reg,type_of_relation,doc_id_law
FAA2EE90,es_reglamento_de,2827D88F
7566EC96,es_reglamento_de,B6DF65EC
C6E9B915,es_reglamento_de,7C5E7A9B
D2CE6E11,es_reglamento_de,C57B66D6
1E1110C3,es_reglamento_de,A3D6BE07
E9ADC1E1,es_reglamento_de,613AF384
868D8A4A,es_reglamento_de,D210670F
78266F48,es_reglamento_de,BF2515FB
6D0C4493,es_reglamento_de,3C5257D6
5A23E031,es_reglamento_de,EEDDE287
6A61C2CC,es_reglamento_de,3A1AB6C3
057212A0,es_reglamento_de,2827D88F
6D6F29EF,es_reglamento_de,D73158BE
CDA77D5A,es_reglamento_de,D6164805
EB5F4907,es_reglamento_de,38775BBE
D73158BE,es_reglamento_de,D73158BE
27DB1F83,es_reglamento_de,D73158BE
768F07C4,es_reglamento_de,768F07C4
AB7E579F,es_reglamento_de,AB7E579F
F539C40E,es_reglamento_de,9DCF2D5E
483FF7A5,es_reglamento_de,BA76459A
66878C98,es_reglamento_de,D6164805
807464C1,es_reglamento_de,807464C1
293D2FA5,es_reglamento_de,293D2FA5
D61F4C69,es_reglamento_de,3A2C8488
7B5916CD,es_reglamento_de,7B5916CD
8CDA7AB3,es_reglamento_de,926E4541
F5CAFBB3,es_reglamento_de,604B2E0E
ECB46289,es_reglamento_de,99BF2672
2155A245,es_reglamento_de,FB6CCCAE
C22DAF01,es_reglamento_de,A92D78A0
5B0B6BFB,es_reglamento_de,5B0B6BFB
CE7E985D,es_reglamento_de,CE7E985D
E8F2DF9A,es_reglamento_de,82EC20CA
7259296D,es_reglamento_de,A38C6416
87EDE287,es_reglamento_de,87EDE287
A04416EA,es_reglamento_de,3EF48D25
A09725E8,es_reglamento_de,B92C12F3
55FBF591,es_reglamento_de,36D7A6C8
1786AC42,es_reglamento_de,CD6C5519
4BC0C88C,es_reglamento_de,5EE74A4A
B18633D0,es_reglamento_de,F1D0E35F
BDDCC357,es_reglamento_de,55FBF591
6AC32D05,es_reglamento_de,1E67C48A
AB78FCA2,es_reglamento_de,FD848BF1
47C1641A,es_reglamento_de,6DAE5BFB
661422B9,es_reglamento_de,661422B9
660CBA22,es_reglamento_de,79188754
F81E96C7,es_reglamento_de,F81E96C7
3C02B1F0,es_reglamento_de,5EE2A814
49951E1A,es_reglamento_de,49951E1A
C24F3487,es_reglamento_de,C9E1800E
67D50E96,es_reglamento_de,2926363C
C6C71CA0,es_reglamento_de,C6C71CA0
1D958C03,es_reglamento_de,0A60CDC9
69638137,es_reglamento_de,8DDD352D
E0644EAF,es_reglamento_de,1CDBEC2C
FE4C72B4,es_reglamento_de,53142DC1
0C17331C,es_reglamento_de,D95CBF9E
EE81F662,es_reglamento_de,E7942A22
D8D844EF,es_reglamento_de,5A52646A
DF5E6A0A,es_reglamento_de,557633DA
27C61E76,es_reglamento_de,5E9BDC89
76BC8FDD,es_reglamento_de,76BC8FDD
0A3C6EF2,es_reglamento_de,D29991E1
DD6A4B19,es_reglamento_de,4ACB0AEF
A9F3C7D9,es_reglamento_de,D55C4202
4A3DBB59,es_reglamento_de,D251BE10
DD3CAED6,es_reglamento_de,13308DB0
E87C6ACE,es_reglamento_de,2B275FA4
5E80C511,es_reglamento_de,E5C30CC1
44BE4FC7,es_reglamento_de,3D3C3FE0
7E0D3060,es_reglamento_de,2EC5C973
4F26A96D,es_reglamento_de,8DDD352D
0119FE14,es_reglamento_de,0D82F3D0
F10485DA,es_reglamento_de,1E67C48A
AC2003AF,es_reglamento_de,699A1C8C
C2BFB86C,es_reglamento_de,7A81A26F
